"Prctr","Konto","Bezeichnung","Zeile Ergebnisplan","Bezeichnung","in PrCtrHW","PrCtrHW","Text","Auftrag","Jahr","GsBe","Ver","opChar","operationCharacter","Amt","Produktbereich"
"110000109","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-13230.06","EUR","","1036000","2022","1099","8","4","revenue","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","5000.00","EUR","","1035006","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","2500.00","EUR","","1035006","2022","1099","8","5","expenditure","1000","0109"
"110000109","544112","Mitgliedsbeiträge","K11-160","16/54 Sonstige ordentliche Aufwendungen","264400.00","EUR","","1035004","2022","1099","8","5","expenditure","1000","0109"
"110000109","531800","Aufw. Zusch. übr. B.","K11-150","15/53 Transferaufwendungen","1100.00","EUR","","1035004","2022","1099","8","5","expenditure","1000","0109"
"110000109","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","5600.00","EUR","","1035003","2022","1099","8","5","expenditure","1000","0109"
"110000109","541160","Dienst u.Schutzklei.","K11-160","16/54 Sonstige ordentliche Aufwendungen","200.00","EUR","","1035003","2022","1099","8","5","expenditure","1000","0109"
"110000109","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","5000.00","EUR","","1035003","2022","1099","8","5","expenditure","1000","0109"
"110000109","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1035002","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1800.00","EUR","","1035002","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","1000.00","EUR","","1035002","2022","1099","8","5","expenditure","1000","0109"
"110000109","528010","Entsorgungskosten","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","200.00","EUR","","1035002","2022","1099","8","5","expenditure","1000","0109"
"110000109","528000","Transportdienste","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","16177.99","EUR","","1035002","2022","1099","8","5","expenditure","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1035001","2022","1099","8","5","expenditure","1000","0109"
"110000109","521110","Unterh.Grundst,Gebäu","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","404.45","EUR","","1035001","2022","1099","8","5","expenditure","1000","0109"
"110000109","448800","Erstatt. von übr. B.","K11-060","06/41 Kostenerstattungen/-umlagen","-11500.00","EUR","","1035001","2022","1099","8","4","revenue","1000","0109"
"110000109","441100","Ertr. Mieten/Pachten","K11-050","05/44 Privatrechtliche Leistungsentgelte","-282800.00","EUR","","1035001","2022","1099","8","4","revenue","1000","0109"
"110000109","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","22.86","EUR","","1034004","2022","1099","8","5","expenditure","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","20000.00","EUR","","1034004","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","15000.00","EUR","","1034004","2022","1099","8","5","expenditure","1000","0109"
"110000109","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","3000.00","EUR","","1034004","2022","1099","8","5","expenditure","1000","0109"
"110000109","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-22.86","EUR","","1034004","2022","1099","8","4","revenue","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1034003","2022","1099","8","5","expenditure","1000","0109"
"110000109","448800","Erstatt. von übr. B.","K11-060","06/41 Kostenerstattungen/-umlagen","-6000.00","EUR","","1036000","2022","1099","8","4","revenue","1000","0109"
"110000123","571132","AfA Fahrzeuge","K11-140","14/57 Bilanzielle Abschreibungen","3428.49","EUR","","1050030","2022","1099","8","5","expenditure","1000","0123"
"110000123","571132","AfA Fahrzeuge","K11-140","14/57 Bilanzielle Abschreibungen","3974.72","EUR","","1050019","2022","1099","8","5","expenditure","1000","0123"
"110000123","571132","AfA Fahrzeuge","K11-140","14/57 Bilanzielle Abschreibungen","4758.66","EUR","","1050015","2022","1099","8","5","expenditure","1000","0123"
"110000109","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-8500.00","EUR","","1039095","2022","1099","8","4","revenue","1000","0109"
"110000109","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-7000.00","EUR","","1039093","2022","1099","8","4","revenue","1000","0109"
"110000109","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-14000.00","EUR","","1039092","2022","1099","8","4","revenue","1000","0109"
"110000109","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-38000.00","EUR","","1039091","2022","1099","8","4","revenue","1000","0109"
"110000109","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","71.35","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","543190","Sonst. Geschäftsaufw","K11-160","16/54 Sonstige ordentliche Aufwendungen","29631.59","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","1000.00","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1500.00","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","4000.00","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","541140","Beschäfbetr,Dienstju","K11-160","16/54 Sonstige ordentliche Aufwendungen","3944.74","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","12778.63","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","16937.76","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","528010","Entsorgungskosten","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","9668.57","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","500.00","EUR","","1039000","2022","1099","8","5","expenditure","1000","0109"
"110000109","432100","Benutzungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-5000.00","EUR","","1039000","2022","1099","8","4","revenue","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1036001","2022","1099","8","5","expenditure","1000","0109"
"110000109","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","14750.06","EUR","","1036000","2022","1099","8","5","expenditure","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","2000.00","EUR","","1036000","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","16200.00","EUR","","1036000","2022","1099","8","5","expenditure","1000","0109"
"110000109","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","10540.52","EUR","","1036000","2022","1099","8","5","expenditure","1000","0109"
"110000109","571130","AfA Maschinen","K11-140","14/57 Bilanzielle Abschreibungen","975.00","EUR","","1031003","2022","1099","8","5","expenditure","1000","0109"
"110000109","544112","Mitgliedsbeiträge","K11-160","16/54 Sonstige ordentliche Aufwendungen","1200.00","EUR","","1031003","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1000.00","EUR","","1031003","2022","1099","8","5","expenditure","1000","0109"
"110000109","543120","Zeitungen u. Fachlit","K11-160","16/54 Sonstige ordentliche Aufwendungen","150.00","EUR","","1031003","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","4500.00","EUR","","1031003","2022","1099","8","5","expenditure","1000","0109"
"110000109","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","10000.00","EUR","","1031003","2022","1099","8","5","expenditure","1000","0109"
"110000109","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-975.00","EUR","","1031003","2022","1099","8","4","revenue","1000","0109"
"110000109","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","41.79","EUR","","1031002","2022","1099","8","5","expenditure","1000","0109"
"110000109","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","62120.11","EUR","","1031002","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","2500.00","EUR","","1031002","2022","1099","8","5","expenditure","1000","0109"
"110000109","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-2500.00","EUR","","1031002","2022","1099","8","4","revenue","1000","0109"
"110000109","448400","Erstatt.v.so.öff.B.","K11-060","06/41 Kostenerstattungen/-umlagen","-3500.00","EUR","","1031002","2022","1099","8","4","revenue","1000","0109"
"110000109","446100","So. priv-r. Leist.e.","K11-050","05/44 Privatrechtliche Leistungsentgelte","-5000.00","EUR","","1031002","2022","1099","8","4","revenue","1000","0109"
"110000109","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-41.79","EUR","","1031002","2022","1099","8","4","revenue","1000","0109"
"110000109","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","97.38","EUR","","1031001","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","5000.00","EUR","","1031001","2022","1099","8","5","expenditure","1000","0109"
"110000109","541160","Dienst u.Schutzklei.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1800.00","EUR","","1031001","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","9600.00","EUR","","1031001","2022","1099","8","5","expenditure","1000","0109"
"110000109","527130","Wartung/Pfle.v.Softw","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","808.90","EUR","","1031001","2022","1099","8","5","expenditure","1000","0109"
"110000109","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","2500.00","EUR","","1031001","2022","1099","8","5","expenditure","1000","0109"
"110000109","524190","sonst. Geb.bew.aufw.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","1456.02","EUR","","1031001","2022","1099","8","5","expenditure","1000","0109"
"110000109","446100","So. priv-r. Leist.e.","K11-050","05/44 Privatrechtliche Leistungsentgelte","-2500.00","EUR","","1031001","2022","1099","8","4","revenue","1000","0109"
"110000109","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-97.38","EUR","","1031001","2022","1099","8","4","revenue","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","45000.00","EUR","","1031004","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","132000.00","EUR","","1034003","2022","1099","8","5","expenditure","1000","0109"
"110000109","543120","Zeitungen u. Fachlit","K11-160","16/54 Sonstige ordentliche Aufwendungen","61675.09","EUR","","1034002","2022","1099","8","5","expenditure","1000","0109"
"110000109","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","4000.00","EUR","","1034002","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","800.00","EUR","","1034002","2022","1099","8","5","expenditure","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","10000.00","EUR","","1034001","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","46453.38","EUR","","1034001","2022","1099","8","5","expenditure","1000","0109"
"110000109","543110","Büromaterial","K11-160","16/54 Sonstige ordentliche Aufwendungen","55559.24","EUR","","1034001","2022","1099","8","5","expenditure","1000","0109"
"110000109","541140","Beschäfbetr,Dienstju","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1034001","2022","1099","8","5","expenditure","1000","0109"
"110000109","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","21215.73","EUR","","1034000","2022","1099","8","5","expenditure","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","40252.24","EUR","","1034000","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","1000.00","EUR","","1034000","2022","1099","8","5","expenditure","1000","0109"
"110000109","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","5000.00","EUR","","1034000","2022","1099","8","5","expenditure","1000","0109"
"110000109","442100","Erträge aus Verkauf","K11-050","05/44 Privatrechtliche Leistungsentgelte","-100.00","EUR","","1034000","2022","1099","8","4","revenue","1000","0109"
"110000109","416130","Aufl.SoPo a.Zuw.Zwe.","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-672.12","EUR","","1034000","2022","1099","8","4","revenue","1000","0109"
"110000109","416120","Aufl.SoPo a.Zuw.Gem.","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-622.40","EUR","","1034000","2022","1099","8","4","revenue","1000","0109"
"110000109","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-17369.77","EUR","","1034000","2022","1099","8","4","revenue","1000","0109"
"110000109","543140","Porto u. Versandkost","K11-160","16/54 Sonstige ordentliche Aufwendungen","759309.62","EUR","","1032003","2022","1099","8","5","expenditure","1000","0109"
"110000109","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","11600.00","EUR","","1032001","2022","1099","8","5","expenditure","1000","0109"
"110000109","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1032001","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","9000.00","EUR","","1032001","2022","1099","8","5","expenditure","1000","0109"
"110000109","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","1000.00","EUR","","1032001","2022","1099","8","5","expenditure","1000","0109"
"110000109","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","3500.00","EUR","","1032001","2022","1099","8","5","expenditure","1000","0109"
"110000109","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","120000.00","EUR","","1031005","2022","1099","8","5","expenditure","1000","0109"
"110990133","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","600.00","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","106.00","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","2357.03","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","528010","Entsorgungskosten","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","0.00","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","543165","Lebensmittelzutaten","K11-160","16/54 Sonstige ordentliche Aufwendungen","586.00","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","543190","Sonst. Geschäftsaufw","K11-160","16/54 Sonstige ordentliche Aufwendungen","3213.05","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","432.13","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","531800","Aufw. Zusch. übr. B.","K11-150","15/53 Transferaufwendungen","13200.00","EUR","","1091007","2022","1090","8","5","expenditure","1099","0133"
"110990133","524150","Bewirt-aufw.: Wasser","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","45.30","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","524140","Bewirts-aufw.: Strom","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","3899.70","EUR","","1091006","2022","1090","8","5","expenditure","1099","0133"
"110990133","543190","Sonst. Geschäftsaufw","K11-160","16/54 Sonstige ordentliche Aufwendungen","1592.00","EUR","","1091005","2022","1090","8","5","expenditure","1099","0133"
"110990133","543170","Bewirtungskosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","1061.00","EUR","","1091005","2022","1090","8","5","expenditure","1099","0133"
"110990133","543165","Lebensmittelzutaten","K11-160","16/54 Sonstige ordentliche Aufwendungen","660.15","EUR","","1091005","2022","1090","8","5","expenditure","1099","0133"
"110990133","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1061.00","EUR","","1091005","2022","1090","8","5","expenditure","1099","0133"
"110990133","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","50.00","EUR","","1091005","2022","1090","8","5","expenditure","1099","0133"
"110990133","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","750.00","EUR","","1091005","2022","1090","8","5","expenditure","1099","0133"
"111000116","544110","Versicherungsbeitr.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1089000.00","EUR","","1102000","2022","1199","8","5","expenditure","1100","0116"
"111000116","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-108000.00","EUR","","1102001","2022","1199","8","4","revenue","1100","0116"
"111000116","544110","Versicherungsbeitr.","K11-160","16/54 Sonstige ordentliche Aufwendungen","108000.00","EUR","","1102001","2022","1199","8","5","expenditure","1100","0116"
"111000116","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-97000.00","EUR","","1102002","2022","1199","8","4","revenue","1100","0116"
"111000116","544110","Versicherungsbeitr.","K11-160","16/54 Sonstige ordentliche Aufwendungen","97000.00","EUR","","1102002","2022","1199","8","5","expenditure","1100","0116"
"111000116","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-118000.00","EUR","","1102003","2022","1199","8","4","revenue","1100","0116"
"111000116","544110","Versicherungsbeitr.","K11-160","16/54 Sonstige ordentliche Aufwendungen","118000.00","EUR","","1102003","2022","1199","8","5","expenditure","1100","0116"
"111000116","544110","Versicherungsbeitr.","K11-160","16/54 Sonstige ordentliche Aufwendungen","2180000.00","EUR","","1102004","2022","1199","8","5","expenditure","1100","0116"
"111000116","442100","Erträge aus Verkauf","K11-050","05/44 Privatrechtliche Leistungsentgelte","-2050000.00","EUR","","1103000","2022","1199","8","4","revenue","1100","0116"
"111000116","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","2540000.00","EUR","","1103000","2022","1199","8","5","expenditure","1100","0116"
"111000116","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-580000.00","EUR","","1104002","2022","1199","8","4","revenue","1100","0116"
"111000116","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-51500.00","EUR","","1104003","2022","1199","8","4","revenue","1100","0116"
"111000116","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-162500.00","EUR","","1104004","2022","1199","8","4","revenue","1100","0116"
"111000116","448500","Erstattungen v. UBS","K11-060","06/41 Kostenerstattungen/-umlagen","-184000.00","EUR","","1104006","2022","1199","8","4","revenue","1100","0116"
"111000116","448600","Erst. öff. Sonderr.","K11-060","06/41 Kostenerstattungen/-umlagen","-25000.00","EUR","","1104011","2022","1199","8","4","revenue","1100","0116"
"111000116","429199","Erst. §16 III SGB II","K11-030","03/42 Sonstige Transfererträge","-32000.00","EUR","","1104013","2022","1199","8","4","revenue","1100","0116"
"110880132","414700","Zusch. priv. Untern.","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-2065.00","EUR","","1081008","2022","1080","8","4","revenue","1088","0132"
"110880132","523500","Erst. verb.U/Bet/SoV","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","1400.00","EUR","","1081008","2022","1080","8","5","expenditure","1088","0132"
"110880132","524150","Bewirt-aufw.: Wasser","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","105.00","EUR","","1081008","2022","1080","8","5","expenditure","1088","0132"
"110880132","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","7100.00","EUR","","1081008","2022","1080","8","5","expenditure","1088","0132"
"110880132","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","840.00","EUR","","1081008","2022","1080","8","5","expenditure","1088","0132"
"110880132","543151","Presse-/Öff.arbeit","K11-160","16/54 Sonstige ordentliche Aufwendungen","0.00","EUR","","1081008","2022","1080","8","5","expenditure","1088","0132"
"110880132","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","630.00","EUR","","1081008","2022","1080","8","5","expenditure","1088","0132"
"110880132","543170","Bewirtungskosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","105.00","EUR","","1081008","2022","1080","8","5","expenditure","1088","0132"
"110880132","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","630.00","EUR","","1081008","2022","1080","8","5","expenditure","1088","0132"
"110880132","531800","Aufw. Zusch. übr. B.","K11-150","15/53 Transferaufwendungen","28380.00","EUR","","1081009","2022","1080","8","5","expenditure","1088","0132"
"110880132","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","52.50","EUR","","1081010","2022","1080","8","5","expenditure","1088","0132"
"110880132","432100","Benutzungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-3310.00","EUR","","1081011","2022","1080","8","4","revenue","1088","0132"
