"Prctr","Konto","Bezeichnung","Zeile Ergebnisplan","Bezeichnung","in PrCtrHW","PrCtrHW","Text","PSP-Element","Jahr","GsBe","Ver","opChar","operationCharacter","Amt","Produktbereich"
"130000127","543120","Zeitungen u. Fachlit","K11-160","16/54 Sonstige ordentliche Aufwendungen","480.72","EUR","","1.30.00.01.27.01","2022","3099","8","5","expenditure","3000","0127"
"130000127","543170","Bewirtungskosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","123.46","EUR","","1.30.00.01.27.01","2022","3099","8","5","expenditure","3000","0127"
"103001502","416180","Auf.SoPo a.Zus.üb.Be","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-1915.25","EUR","","1.03.00.15.02.02","2022","399","8","4","revenue","0300","1502"
"103001502","416100","Aufl.SoPo a.Zuw.Bund","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-4815.07","EUR","","1.03.00.15.02.02","2022","399","8","4","revenue","0300","1502"
"103001502","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","2641.67","EUR","","1.03.00.15.02.01","2022","321","8","5","expenditure","0300","1502"
"103001502","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-1645.36","EUR","","1.03.00.15.02.01","2022","321","8","4","revenue","0300","1502"
"103001501","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","3762.50","EUR","","1.03.00.15.01.01","2022","399","8","5","expenditure","0300","1501"
"103001501","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-3396.86","EUR","","1.03.00.15.01.01","2022","399","8","4","revenue","0300","1501"
"133000201","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","399.83","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","571132","AfA Fahrzeuge","K11-140","14/57 Bilanzielle Abschreibungen","19361.90","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","544112","Mitgliedsbeiträge","K11-160","16/54 Sonstige ordentliche Aufwendungen","1400.00","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","543190","Sonst. Geschäftsaufw","K11-160","16/54 Sonstige ordentliche Aufwendungen","200.00","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","100.00","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","542100","Ehrenamt./Sons. Tät.","K11-160","16/54 Sonstige ordentliche Aufwendungen","8000.00","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","541160","Dienst u.Schutzklei.","K11-160","16/54 Sonstige ordentliche Aufwendungen","950.00","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","2000.00","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","85317.45","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","523500","Erst. verb.U/Bet/SoV","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","45000.00","EUR","","1.33.00.02.01.01","2022","3399","8","5","expenditure","3300","0201"
"133000201","456100","Ordnungsrechtl.Ertr.","K11-070","07/45 Sonstige ordentliche Erträge","-1500.00","EUR","","1.33.00.02.01.01","2022","3399","8","4","revenue","3300","0201"
"133000201","432100","Benutzungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-50.00","EUR","","1.33.00.02.01.01","2022","3399","8","4","revenue","3300","0201"
"133000201","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-15000.00","EUR","","1.33.00.02.01.01","2022","3399","8","4","revenue","3300","0201"
"133000201","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-22861.90","EUR","","1.33.00.02.01.01","2022","3399","8","4","revenue","3300","0201"
"130000512","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","49.39","EUR","","1.30.00.05.12.01","2022","3099","8","5","expenditure","3000","0512"
"130000127","544116","Kfz-Haftpfl.versich.","K11-160","16/54 Sonstige ordentliche Aufwendungen","270000.00","EUR","","1.30.00.01.27.03","2022","3099","8","5","expenditure","3000","0127"
"130000127","544114","Haftpflichtversich.","K11-160","16/54 Sonstige ordentliche Aufwendungen","270000.00","EUR","","1.30.00.01.27.03","2022","3099","8","5","expenditure","3000","0127"
"130000127","544110","Versicherungsbeitr.","K11-160","16/54 Sonstige ordentliche Aufwendungen","68500.00","EUR","","1.30.00.01.27.03","2022","3099","8","5","expenditure","3000","0127"
"130000127","543120","Zeitungen u. Fachlit","K11-160","16/54 Sonstige ordentliche Aufwendungen","115.00","EUR","","1.30.00.01.27.03","2022","3099","8","5","expenditure","3000","0127"
"130000127","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","460.00","EUR","","1.30.00.01.27.03","2022","3099","8","5","expenditure","3000","0127"
"130000127","448700","Erstatt. v. priv. U.","K11-060","06/41 Kostenerstattungen/-umlagen","-3000.00","EUR","","1.30.00.01.27.03","2022","3099","8","4","revenue","3000","0127"
"130000127","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","1500.00","EUR","","1.30.00.01.27.02","2022","3099","8","5","expenditure","3000","0127"
"130000127","448800","Erstatt. von übr. B.","K11-060","06/41 Kostenerstattungen/-umlagen","-50500.00","EUR","","1.30.00.01.27.02","2022","3099","8","4","revenue","3000","0127"
"130000127","544112","Mitgliedsbeiträge","K11-160","16/54 Sonstige ordentliche Aufwendungen","60.00","EUR","","1.30.00.01.27.01","2022","3099","8","5","expenditure","3000","0127"
"153000703","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","125.00","EUR","","1.53.00.07.03.01","2022","5399","8","5","expenditure","5300","0703"
"153000703","543190","Sonst. Geschäftsaufw","K11-160","16/54 Sonstige ordentliche Aufwendungen","1234.65","EUR","","1.53.00.07.03.01","2022","5399","8","5","expenditure","5300","0703"
"153000703","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","308.66","EUR","","1.53.00.07.03.01","2022","5399","8","5","expenditure","5300","0703"
"153000703","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","2469.30","EUR","","1.53.00.07.03.01","2022","5399","8","5","expenditure","5300","0703"
"153000703","543130","Telekommunik. Leist.","K11-160","16/54 Sonstige ordentliche Aufwendungen","74.08","EUR","","1.53.00.07.03.01","2022","5399","8","5","expenditure","5300","0703"
"153000703","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","4044.50","EUR","","1.53.00.07.03.01","2022","5399","8","5","expenditure","5300","0703"
"153000703","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-500.00","EUR","","1.53.00.07.03.01","2022","5399","8","4","revenue","5300","0703"
"153000702","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","3775.00","EUR","","1.53.00.07.02.01","2022","5399","8","5","expenditure","5300","0702"
"153000702","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","308.66","EUR","","1.53.00.07.02.01","2022","5399","8","5","expenditure","5300","0702"
"153000702","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","5662.30","EUR","","1.53.00.07.02.01","2022","5399","8","5","expenditure","5300","0702"
"153000702","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","161.78","EUR","","1.53.00.07.02.01","2022","5399","8","5","expenditure","5300","0702"
"153000702","523800","Erstatt. an übr. B.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","100.00","EUR","","1.53.00.07.02.01","2022","5399","8","5","expenditure","5300","0702"
"153000702","503900","Beiträge SV so. B.","K11-110","11/50 Personalaufwendungen","2000.00","EUR","","1.53.00.07.02.01","2022","5399","8","5","expenditure","5300","0702"
"153000702","502900","Beitr.Vers.k. so.B.","K11-110","11/50 Personalaufwendungen","1600.00","EUR","","1.53.00.07.02.01","2022","5399","8","5","expenditure","5300","0702"
"153000702","501900","Aufw. sonst. Besch.","K11-110","11/50 Personalaufwendungen","25000.00","EUR","","1.53.00.07.02.01","2022","5399","8","5","expenditure","5300","0702"
"153000702","459100","And.s.ordent.Erträge","K11-070","07/45 Sonstige ordentliche Erträge","-1000.00","EUR","","1.53.00.07.02.01","2022","5399","8","4","revenue","5300","0702"
"153000702","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-235000.00","EUR","","1.53.00.07.02.01","2022","5399","8","4","revenue","5300","0702"
"153000702","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-500.00","EUR","","1.53.00.07.02.01","2022","5399","8","4","revenue","5300","0702"
"153000701","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","6087.50","EUR","","1.53.00.07.01.01","2022","5399","8","5","expenditure","5300","0701"
"153000701","544112","Mitgliedsbeiträge","K11-160","16/54 Sonstige ordentliche Aufwendungen","100.00","EUR","","1.53.00.07.01.01","2022","5399","8","5","expenditure","5300","0701"
"153000701","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","308.66","EUR","","1.53.00.07.01.01","2022","5399","8","5","expenditure","5300","0701"
"153000701","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1234.65","EUR","","1.53.00.07.01.01","2022","5399","8","5","expenditure","5300","0701"
"153000701","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","161.78","EUR","","1.53.00.07.01.01","2022","5399","8","5","expenditure","5300","0701"
"153000701","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","566.23","EUR","","1.53.00.07.01.01","2022","5399","8","5","expenditure","5300","0701"
"153000704","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","125.00","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","543190","Sonst. Geschäftsaufw","K11-160","16/54 Sonstige ordentliche Aufwendungen","617.32","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","308.66","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","543170","Bewirtungskosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","246.93","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","2469.30","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","543150","Öff. Bekanntmachunge","K11-160","16/54 Sonstige ordentliche Aufwendungen","1234.65","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","543130","Telekommunik. Leist.","K11-160","16/54 Sonstige ordentliche Aufwendungen","370.39","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1000.00","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","33973.78","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","525500","Unterh.son.bew.Verm.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","161.78","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","523800","Erstatt. an übr. B.","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","100.00","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","503900","Beiträge SV so. B.","K11-110","11/50 Personalaufwendungen","1000.00","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","501900","Aufw. sonst. Besch.","K11-110","11/50 Personalaufwendungen","68000.00","EUR","","1.53.00.07.04.01","2022","5399","8","5","expenditure","5300","0704"
"153000704","448100","Erstatt. vom Land","K11-060","06/41 Kostenerstattungen/-umlagen","-42000.00","EUR","","1.53.00.07.04.01","2022","5399","8","4","revenue","5300","0704"
"153000704","446100","So. priv-r. Leist.e.","K11-050","05/44 Privatrechtliche Leistungsentgelte","-2000.00","EUR","","1.53.00.07.04.01","2022","5399","8","4","revenue","5300","0704"
"153000704","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-206500.00","EUR","","1.53.00.07.04.01","2022","5399","8","4","revenue","5300","0704"
"153000704","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-500.00","EUR","","1.53.00.07.04.01","2022","5399","8","4","revenue","5300","0704"
"133000201","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-30000.00","EUR","","1.33.00.02.01.02","2022","3399","8","4","revenue","3300","0201"
"133000204","522100","Unterh.s.unbew.Vermö","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","30000.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","456100","Ordnungsrechtl.Ertr.","K11-070","07/45 Sonstige ordentliche Erträge","-6700000.00","EUR","","1.33.00.02.04.01","2022","3399","8","4","revenue","3300","0204"
"133000204","448800","Erstatt. von übr. B.","K11-060","06/41 Kostenerstattungen/-umlagen","-45000.00","EUR","","1.33.00.02.04.01","2022","3399","8","4","revenue","3300","0204"
"133000204","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-1135000.00","EUR","","1.33.00.02.04.01","2022","3399","8","4","revenue","3300","0204"
"133000204","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-10073.73","EUR","","1.33.00.02.04.01","2022","3399","8","4","revenue","3300","0204"
"133000203","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","6300.00","EUR","","1.33.00.02.03.02","2022","3312","8","5","expenditure","3300","0203"
"133000203","441100","Ertr. Mieten/Pachten","K11-050","05/44 Privatrechtliche Leistungsentgelte","-40000.00","EUR","","1.33.00.02.03.02","2022","3312","8","4","revenue","3300","0203"
"133000203","581102","Aufw.int.LeistbGebüh","K11-270","27/48 Interne Verrechnungen","13800.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","581101","Aufw.int.LeistbGrdst","K11-270","27/48 Interne Verrechnungen","3900.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","571110","Abschr.a.Geb,Betrvor","K11-140","14/57 Bilanzielle Abschreibungen","1900.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","545200","Leasing","K11-160","16/54 Sonstige ordentliche Aufwendungen","1600.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","11000.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","544131","Körperschaftssteuer","K11-160","16/54 Sonstige ordentliche Aufwendungen","35000.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","544130","Gewerbesteuer","K11-160","16/54 Sonstige ordentliche Aufwendungen","35000.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","544120","Grundsteuer","K11-160","16/54 Sonstige ordentliche Aufwendungen","0.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543190","Sonst. Geschäftsaufw","K11-160","16/54 Sonstige ordentliche Aufwendungen","1050.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","5000.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543171","Bewirt.kost.,nur BGA","K11-160","16/54 Sonstige ordentliche Aufwendungen","550.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543170","Bewirtungskosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","1100.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","8950.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543151","Presse-/Öff.arbeit","K11-160","16/54 Sonstige ordentliche Aufwendungen","60500.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543150","Öff. Bekanntmachunge","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543130","Telekommunik. Leist.","K11-160","16/54 Sonstige ordentliche Aufwendungen","3300.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000203","543110","Büromaterial","K11-160","16/54 Sonstige ordentliche Aufwendungen","220.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000204","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1.33.00.02.04.04","2022","3399","8","5","expenditure","3300","0204"
"133000204","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","60000.00","EUR","","1.33.00.02.04.03","2022","3399","8","5","expenditure","3300","0204"
"133000204","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","2500.00","EUR","","1.33.00.02.04.03","2022","3399","8","5","expenditure","3300","0204"
"133000204","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","500.00","EUR","","1.33.00.02.04.03","2022","3399","8","5","expenditure","3300","0204"
"133000204","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","3500.00","EUR","","1.33.00.02.04.03","2022","3399","8","5","expenditure","3300","0204"
"133000204","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-480000.00","EUR","","1.33.00.02.04.03","2022","3399","8","4","revenue","3300","0204"
"133000204","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","300.00","EUR","","1.33.00.02.04.02","2022","3399","8","5","expenditure","3300","0204"
"133000204","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","4000.00","EUR","","1.33.00.02.04.02","2022","3399","8","5","expenditure","3300","0204"
"133000204","539190","Sonst. Transferaufw.","K11-150","15/53 Transferaufwendungen","8400.00","EUR","","1.33.00.02.04.02","2022","3399","8","5","expenditure","3300","0204"
"133000204","432100","Benutzungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-560000.00","EUR","","1.33.00.02.04.02","2022","3399","8","4","revenue","3300","0204"
"133000204","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-750000.00","EUR","","1.33.00.02.04.02","2022","3399","8","4","revenue","3300","0204"
"133000204","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","323.83","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","571132","AfA Fahrzeuge","K11-140","14/57 Bilanzielle Abschreibungen","8250.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","571123","AfAStr,Plätze,Verkl.","K11-140","14/57 Bilanzielle Abschreibungen","119.95","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","545100","Miete/Pacht/Erbbauz.","K11-160","16/54 Sonstige ordentliche Aufwendungen","208777.29","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","543190","Sonst. Geschäftsaufw","K11-160","16/54 Sonstige ordentliche Aufwendungen","1000.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","1500.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","543130","Telekommunik. Leist.","K11-160","16/54 Sonstige ordentliche Aufwendungen","50.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","250.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","542100","Ehrenamt./Sons. Tät.","K11-160","16/54 Sonstige ordentliche Aufwendungen","100.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","541160","Dienst u.Schutzklei.","K11-160","16/54 Sonstige ordentliche Aufwendungen","23050.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","6000.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","21718.51","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000204","523500","Erst. verb.U/Bet/SoV","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","1300.00","EUR","","1.33.00.02.04.01","2022","3399","8","5","expenditure","3300","0204"
"133000203","541160","Dienst u.Schutzklei.","K11-160","16/54 Sonstige ordentliche Aufwendungen","1100.00","EUR","","1.33.00.02.03.01","2022","3312","8","5","expenditure","3300","0203"
"133000202","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-42500.00","EUR","","1.33.00.02.02.02","2022","3399","8","4","revenue","3300","0202"
"133000202","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","0.00","EUR","","1.33.00.02.02.01","2022","3399","8","5","expenditure","3300","0202"
"133000202","542900","Aufw.Inan.Rechte/Di.","K11-160","16/54 Sonstige ordentliche Aufwendungen","600.00","EUR","","1.33.00.02.02.01","2022","3399","8","5","expenditure","3300","0202"
"133000202","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","200.00","EUR","","1.33.00.02.02.01","2022","3399","8","5","expenditure","3300","0202"
"133000202","431100","Verwaltungsgebühren","K11-040","04/43 Öffentlich-Rechtliche Leistungsentgelte","-230000.00","EUR","","1.33.00.02.02.01","2022","3399","8","4","revenue","3300","0202"
"133000201","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","34.02","EUR","","1.33.00.02.01.04","2022","3399","8","5","expenditure","3300","0201"
"133000201","571132","AfA Fahrzeuge","K11-140","14/57 Bilanzielle Abschreibungen","13240.91","EUR","","1.33.00.02.01.04","2022","3399","8","5","expenditure","3300","0201"
"133000201","543180","Ausstattung bis 410E","K11-160","16/54 Sonstige ordentliche Aufwendungen","3500.00","EUR","","1.33.00.02.01.04","2022","3399","8","5","expenditure","3300","0201"
"133000201","543160","So. Verbrauchsmat.","K11-160","16/54 Sonstige ordentliche Aufwendungen","2000.00","EUR","","1.33.00.02.01.04","2022","3399","8","5","expenditure","3300","0201"
"133000201","541160","Dienst u.Schutzklei.","K11-160","16/54 Sonstige ordentliche Aufwendungen","7467.40","EUR","","1.33.00.02.01.04","2022","3399","8","5","expenditure","3300","0201"
"133000201","523500","Erst. verb.U/Bet/SoV","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","7000.00","EUR","","1.33.00.02.01.04","2022","3399","8","5","expenditure","3300","0201"
"133000201","456200","Nebenford.Säumnisz.","K11-070","07/45 Sonstige ordentliche Erträge","-200.00","EUR","","1.33.00.02.01.04","2022","3399","8","4","revenue","3300","0201"
"133000201","456100","Ordnungsrechtl.Ertr.","K11-070","07/45 Sonstige ordentliche Erträge","-350000.00","EUR","","1.33.00.02.01.04","2022","3399","8","4","revenue","3300","0201"
"133000201","448100","Erstatt. vom Land","K11-060","06/41 Kostenerstattungen/-umlagen","-3500.00","EUR","","1.33.00.02.01.04","2022","3399","8","4","revenue","3300","0201"
"133000201","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-34.02","EUR","","1.33.00.02.01.04","2022","3399","8","4","revenue","3300","0201"
"133000201","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","160.00","EUR","","1.33.00.02.01.03","2022","3399","8","5","expenditure","3300","0201"
